0,42.389
2,42.313
4,42.087
6,41.714
8,41.203
10,40.562
12,39.802
14,38.937
16,37.978
18,36.939
20,35.832
22,34.669
24,33.461
26,32.217
28,30.944
30,29.651
32,28.342
34,27.022
36,25.695
38,24.364
40,23.031
42,21.7
44,20.373
46,19.053
48,17.743
50,16.445
52,15.166
54,13.908
56,12.679
58,11.482
60,10.326
62,9.2152
64,8.1575
66,7.1585
68,6.224
70,5.3587
72,4.5662
74,3.8488
76,3.2075
78,2.6414
80,2.1486
82,1.7254
84,1.3674
86,1.069
88,0.82408
90,0.62619
92,0.46887
94,0.34582
96,0.25118
98,0.17961
100,0.12641
102,0.087543
104,0.059642
106,0.039966
108,0.026335
110,0.017062
