66.922,1.9394,26.867
52.929,0.42453,51.431
48.883,1.9096,25.198
84.85,0.34221,75.564
2.7354,1.3588,20.542
40.476,1.2137,29.406
57.518,1.4969,29.631
11.842,1.9289,21.243
25.031,0.029105,44.151
6.8444,0.64973,23.113
17.919,0.88432,26.152
54.537,0.96797,36.862
60.272,1.0453,36.995
63.573,0.052043,79.601
48.956,1.5036,28.149
59.504,0.26412,62.963
53.023,1.6773,27.26
71.71,0.97834,41.842
16.965,0.88082,25.849
1.084,0.40146,20.665
20.774,0.38461,32.987
26.569,1.3678,25.183
21.118,1.3615,24.153
52.753,0.91937,37.281
13.593,1.3348,22.761
15.179,0.65108,26.885
53.939,1.6777,27.381
64.711,0.39037,60.018
43.924,1.3272,28.948
86.152,0.30021,79.398
44.896,0.4453,46.016
6.6882,0.50341,23.627
18.388,0.2697,33.221
17.56,1.5824,22.691
78.46,0.68007,54.09
96.95,1.1643,43.63
70.923,0.61393,53.408
38.463,1.4469,26.84
58.415,0.19966,65.654
17.319,0.089556,35.518
8.2115,0.11978,27.092
94.823,1.3723,38.171
27.9,1.283,25.998
9.7012,1.622,21.425
74.476,0.51055,59.747
57.641,0.3922,55.589
6.8241,0.82201,22.527
14.423,1.9281,21.514
39.048,0.57795,39.283
89.642,1.6941,31.96
84.768,0.0091112,103.81
19.338,0.036807,38.484
70.95,1.4859,31.998
70.867,1.7825,28.611
30.942,0.085824,47.842
47.339,0.3018,52.666
35.412,1.7236,24.623
59.083,1.9204,26.197
11.819,0.73376,24.858
93.704,0.3336,81.971
31.772,0.71397,33.336
96.257,1.0859,45.723
75.808,0.70592,51.939
91.236,1.1702,42.105
85.465,1.1723,40.679
36.637,0.41339,42.086
66.706,0.56523,53.344
92.096,0.56526,65.899
14.346,0.86389,25.049
21.698,1.7712,22.696
0.86723,0.83626,20.316
90.469,0.06699,103.22
19.362,1.44,23.483
65.344,0.3418,62.879
66.365,1.3696,32.825
27.288,1.8342,23.162
95.65,1.3444,38.924
91.84,0.90329,50.482
30.042,0.18289,44
96.105,1.3193,39.569
19.934,1.9324,22.081
18.682,0.3176,32.672
37.621,1.1817,29.079
57.928,0.88621,39.723
30.56,0.12543,46.195
99.777,1.6476,33.99
13.72,0.48323,27.617
70.059,1.7895,28.449
83.735,0.044699,99.201
9.3919,1.1846,22.27
74.015,1.8664,28.203
68.138,0.82449,44.932
89.261,0.26449,84.295
43.522,0.20478,53.827
