8.8,42.86
8.825,42.85
8.85,42.84
8.875,42.83
8.9,42.82
8.925,42.81
8.95,42.8
8.975,42.79
9,42.78
9.025,42.77
9.05,42.76
9.075,42.75
9.1,42.74
9.125,42.73
9.15,42.72
9.175,42.71
9.2,42.7
9.225,42.69
9.25,42.68
9.275,42.67
9.3,42.66
9.325,42.65
9.35,42.641
9.375,42.631
9.4,42.621
9.425,42.611
9.45,42.601
9.475,42.591
9.5,42.582
9.525,42.572
9.55,42.562
9.575,42.552
9.6,42.543
9.625,42.533
9.65,42.523
9.675,42.514
9.7,42.504
9.725,42.494
9.75,42.485
9.775,42.475
9.8,42.465
9.825,42.456
9.85,42.446
9.875,42.437
9.9,42.427
9.925,42.418
9.95,42.408
9.975,42.399
10,42.389
10.025,42.379
10.05,42.37
10.075,42.36
10.1,42.351
10.125,42.342
10.15,42.332
10.175,42.323
10.2,42.313
10.225,42.304
10.25,42.294
10.275,42.285
10.3,42.276
10.325,42.266
10.35,42.257
10.375,42.248
10.4,42.238
10.425,42.229
10.45,42.22
10.475,42.21
10.5,42.201
10.525,42.192
10.55,42.182
10.575,42.173
10.6,42.164
10.625,42.155
10.65,42.146
10.675,42.136
10.7,42.127
10.725,42.118
10.75,42.109
10.775,42.1
10.8,42.09
10.825,42.081
10.85,42.072
10.875,42.063
10.9,42.054
10.925,42.045
10.95,42.036
10.975,42.027
11,42.018
11.025,42.008
11.05,41.999
11.075,41.99
11.1,41.981
11.125,41.972
11.15,41.963
11.175,41.954
11.2,41.945
11.225,41.936
11.25,41.927
11.275,41.918
11.3,41.909
11.325,41.9
11.35,41.892
11.375,41.883
11.4,41.874
11.425,41.865
11.45,41.856
11.475,41.847
11.5,41.838
11.525,41.829
11.55,41.82
11.575,41.812
11.6,41.803
11.625,41.794
11.65,41.785
11.675,41.776
11.7,41.767
11.725,41.759
11.75,41.75
11.775,41.741
11.8,41.732
11.825,41.724
11.85,41.715
11.875,41.706
11.9,41.697
11.925,41.689
11.95,41.68
11.975,41.671
12,41.663
12.025,41.654
12.05,41.645
12.075,41.637
12.1,41.628
12.125,41.619
12.15,41.611
12.175,41.602
12.2,41.593
12.225,41.585
12.25,41.576
12.275,41.568
12.3,41.559
12.325,41.55
12.35,41.542
12.375,41.533
12.4,41.525
12.425,41.516
12.45,41.508
12.475,41.499
12.5,41.491
12.525,41.482
12.55,41.474
12.575,41.465
12.6,41.457
12.625,41.448
12.65,41.44
12.675,41.431
12.7,41.423
12.725,41.414
12.75,41.406
12.775,41.398
12.8,41.389
12.825,41.381
12.85,41.372
12.875,41.364
12.9,41.356
12.925,41.347
12.95,41.339
12.975,41.33
13,41.322
13.025,41.314
13.05,41.305
13.075,41.297
13.1,41.289
13.125,41.28
13.15,41.272
13.175,41.264
13.2,41.256
13.225,41.247
13.25,41.239
13.275,41.231
13.3,41.223
13.325,41.214
13.35,41.206
13.375,41.198
13.4,41.19
13.425,41.181
13.45,41.173
13.475,41.165
13.5,41.157
13.525,41.149
13.55,41.14
13.575,41.132
13.6,41.124
13.625,41.116
13.65,41.108
13.675,41.1
13.7,41.092
13.725,41.083
13.75,41.075
13.775,41.067
13.8,41.059
13.825,41.051
13.85,41.043
13.875,41.035
13.9,41.027
13.925,41.019
13.95,41.011
13.975,41.003
14,40.995
14.025,40.987
14.05,40.978
14.075,40.97
14.1,40.962
14.125,40.954
14.15,40.946
14.175,40.938
14.2,40.93
14.225,40.922
14.25,40.915
14.275,40.907
14.3,40.899
14.325,40.891
14.35,40.883
14.375,40.875
14.4,40.867
14.425,40.859
14.45,40.851
14.475,40.843
14.5,40.835
14.525,40.827
14.55,40.819
14.575,40.811
14.6,40.804
14.625,40.796
14.65,40.788
14.675,40.78
14.7,40.772
14.725,40.764
14.75,40.756
14.775,40.749
14.8,40.741
14.825,40.733
14.85,40.725
14.875,40.717
14.9,40.71
14.925,40.702
14.95,40.694
14.975,40.686
15,40.678
15.025,40.671
15.05,40.663
15.075,40.655
15.1,40.647
15.125,40.64
15.15,40.632
15.175,40.624
15.2,40.617
15.225,40.609
15.25,40.601
15.275,40.593
15.3,40.586
15.325,40.578
15.35,40.57
15.375,40.563
15.4,40.555
15.425,40.547
15.45,40.54
15.475,40.532
15.5,40.524
15.525,40.517
15.55,40.509
15.575,40.502
15.6,40.494
15.625,40.486
15.65,40.479
15.675,40.471
15.7,40.464
15.725,40.456
15.75,40.448
15.775,40.441
15.8,40.433
15.825,40.426
15.85,40.418
15.875,40.411
15.9,40.403
15.925,40.395
15.95,40.388
15.975,40.38
16,40.373
16.025,40.365
16.05,40.358
16.075,40.35
16.1,40.343
16.125,40.335
16.15,40.328
16.175,40.32
16.2,40.313
16.225,40.305
16.25,40.298
16.275,40.29
16.3,40.283
16.325,40.276
16.35,40.268
16.375,40.261
16.4,40.253
16.425,40.246
16.45,40.238
16.475,40.231
16.5,40.224
16.525,40.216
16.55,40.209
16.575,40.201
16.6,40.194
16.625,40.187
16.65,40.179
16.675,40.172
16.7,40.165
16.725,40.157
16.75,40.15
16.775,40.142
16.8,40.135
16.825,40.128
16.85,40.12
16.875,40.113
16.9,40.106
16.925,40.099
16.95,40.091
16.975,40.084
17,40.077
17.025,40.069
17.05,40.062
17.075,40.055
17.1,40.047
17.125,40.04
17.15,40.033
17.175,40.026
17.2,40.018
17.225,40.011
17.25,40.004
17.275,39.997
17.3,39.989
17.325,39.982
17.35,39.975
17.375,39.968
17.4,39.961
17.425,39.953
17.45,39.946
17.475,39.939
